"first_names","math_grades","spanish_grades","grade_diff","better_at_math"
"Student 1",100,54.4933823140995,45.5066176859005,TRUE
"Student 2",91.142932916391,93.9061235642797,-2.76319064788869,FALSE
"Student 3",94.8221361169204,86.4373409976919,8.38479511922847,TRUE
"Student 4",80.632073255233,83.7369761018627,-3.10490284662973,FALSE
"Student 5",84.2180688088558,74.2456293399734,9.97243946888236,TRUE
"Student 6",86.1537187662232,83.8130176393927,2.3407011268305,TRUE
"Student 7",76.9258210041448,86.853651885245,-9.92783088110018,FALSE
"Student 8",90.9050087985404,100,-9.09499120145962,FALSE
"Student 9",91.7764802435351,97.5888059547111,-5.81232571117602,FALSE
"Student 10",94.9150080462228,82.6600651498,12.2549428964228,TRUE
"Student 11",93.7186380437934,93.8829576194896,-0.16431957569614,FALSE
"Student 12",98.8466745133823,74.1178851042906,24.7287894090917,TRUE
"Student 13",81.1716534237304,65.4996096862025,15.6720437375279,TRUE
"Student 14",98.2033471916771,86.1616409214292,12.0417062702479,TRUE
"Student 15",100,82.4430538261076,17.5569461738924,TRUE
"Student 16",81.2562512142022,91.2705556198296,-10.0143044056275,FALSE
"Student 17",99.4047175988667,90.1525728702686,9.25214472859813,TRUE
"Student 18",86.3389168002837,83.644742103931,2.69417469635268,TRUE
"Student 19",84.4350870917223,91.9885297853891,-7.55344269366677,FALSE
"Student 20",97.1872957883217,88.6952437671375,8.49205202118426,TRUE
"Student 21",93.9808393837651,88.9079408470447,5.0728985367204,TRUE
"Student 22",81.5603689201246,100,-18.4396310798754,FALSE
"Student 23",91.2308720219484,69.5072713891864,21.7236006327619,TRUE
"Student 24",83.2224727121943,100,-16.7775272878057,FALSE
"Student 25",80.9141370800227,76.9335613144325,3.98057576559016,TRUE
"Student 26",63.0799168432697,84.9656307598092,-21.8857139165395,FALSE
"Student 27",82.396219020067,83.2852228910761,-0.889003871009095,FALSE
"Student 28",71.5805578134305,71.3860192520102,0.194538561420302,TRUE
"Student 29",88.1746286293015,70.818485857557,17.3561427717445,TRUE
"Student 30",89.5057588128425,79.4779247161871,10.0278340966554,TRUE
"Student 31",96.5984974209818,90.2801855921093,6.31831182887242,TRUE
"Student 32",75.5441031126329,100,-24.4558968873671,FALSE
"Student 33",75.1165226595381,60.5415733413637,14.5749493181744,TRUE
"Student 34",76.5352214748375,95.834054973974,-19.2988334991365,FALSE
"Student 35",85.3651749121485,77.6849574982107,7.68021741393781,TRUE
"Student 36",82.7592357226323,95.9521542035256,-13.1929184808933,FALSE
"Student 37",91.0380166915405,77.6467761949932,13.3912404965473,TRUE
"Student 38",76.1333515984767,78.6726277163065,-2.53927611782984,FALSE
"Student 39",87.5265216331725,93.9175973584231,-6.39107572525057,FALSE
"Student 40",89.7504646464391,85.3607759092006,4.38968873723847,TRUE
"Student 41",86.217904847666,89.5643850100759,-3.34648016240986,FALSE
"Student 42",78.6301726991113,84.7374552352239,-6.10728253611259,FALSE
"Student 43",84.6171773504181,94.72489323455,-10.1077158841319,FALSE
"Student 44",85.9136608962897,65.9657120898,19.9479488064897,TRUE
"Student 45",78.9113336039006,92.8795383048727,-13.9682047009722,FALSE
"Student 46",86.5902331723807,82.4647528657497,4.125480306631,TRUE
"Student 47",87.119674080467,97.911107522541,-10.7914334420739,FALSE
"Student 48",92.3019091468081,100,-7.69809085319194,FALSE
"Student 49",75.8544554675968,73.0467623772132,2.80769309038359,TRUE
"Student 50",86.4907471944403,85.2955054103459,1.19524178409441,TRUE
"Student 51",93.9134621597398,83.4306347637313,10.4828273960086,TRUE
"Student 52",100,62.2570383817799,37.7429616182201,TRUE
"Student 53",85.3173213885622,76.4608245037351,8.85649688482708,TRUE
"Student 54",100,66.1456306216634,33.8543693783366,TRUE
"Student 55",92.3119646947804,81.7322189667219,10.5797457280586,TRUE
"Student 56",93.428388711389,79.0116278745944,14.4167608367947,TRUE
